budget,p_arxiv,p_freelaw,p_nih_exporter,p_pubmed_central,p_wikipedia_en,p_dm_mathematics,p_github,p_philpapers,p_stackexchange,p_enron_emails,p_gutenberg_pg_19,p_pile_cc,p_ubuntu_irc,p_europarl,p_hackernews,p_pubmed_abstracts,p_uspto_backgrounds
1e+19,0.035147178532930375,0.03942561860288446,0.00013426490885963012,0.02873293556589126,0.16988433469531258,0.006161875983452482,0.049917742519407414,0.000984609331637188,0.08471426906247279,0.0,0.049356367995005146,0.2640129878736483,0.025416134671802364,5.933393022959712e-05,0.039643743657172666,0.17354471014902284,0.032863892520271006
3e+19,0.03236861142654251,0.03921449033826338,0.00010369485466812432,0.024893701603365383,0.17483346972855665,0.004816282116831187,0.049897246585105595,0.0007604289342284915,0.0808938649502799,2.5349589484602143e-16,0.05303571303717383,0.2679466901946931,0.02632321209702111,8.944686168635465e-05,0.03913453652383509,0.17398823291381202,0.03170037783393696
1e+20,0.02923803893191807,0.03877144387350333,6.824569626161757e-05,0.023087344991102578,0.18151811142300245,0.0034649840353217784,0.05153767641414307,0.000500468439251839,0.07651886898556201,4.650752665567889e-19,0.05485990016084316,0.2722867302563267,0.02709815923964404,0.00012703170729943598,0.038754420527797775,0.17541255435881858,0.026756020959203628
3e+20,0.0266209940744555,0.03834058391964698,4.1718105620191205e-05,0.023374108530833902,0.18619454676938507,0.0024988051056222225,0.05281982117319954,0.0003059327745480681,0.07272857789181934,0.0,0.05625693926850458,0.2759265605368945,0.027529609500001943,0.0001617873800519317,0.038573807322300285,0.17696208911066927,0.021664118536446793
1e+21,0.02446730791153272,0.03730808795127005,1.7431136100514732e-05,0.024834862101196318,0.1891996495460696,0.0016626853676062294,0.05392983455213514,0.00012782833140374187,0.06889003714655052,6.798021259933908e-19,0.05740772020026104,0.2793570606116081,0.02766577963475643,0.00019485494435808788,0.03849825337519683,0.1787918958395526,0.017646711350402113
3e+21,0.022981794701643635,0.03511988401613611,4.708879545241245e-08,0.026149343458601686,0.19171280218588999,0.0010960709457764675,0.05528094164359761,3.453178333272393e-07,0.06515717408818607,1.5188941821952143e-19,0.058687292380747456,0.2824349320238763,0.02775838586717685,0.00021524444076483973,0.038499875989796734,0.18034505215171376,0.014560813699463677
1e+22,0.02120529983955327,0.03393788052051743,2.7264058815904552e-18,0.02168387529315961,0.19046976537807914,0.0008810647017123738,0.05721733386540899,2.2301664549248942e-17,0.06133788314929939,0.0,0.060633729485214304,0.28790984196515096,0.02787430587917195,0.00018442121255082648,0.03926080986505921,0.18389292549217356,0.013510863352949055
3e+22,0.019399537299035957,0.0326296201551977,9.220748434716259e-17,0.017728846816646274,0.19018881207101312,0.0007162493227859428,0.05978790780143898,9.48022434321424e-17,0.05748849684655287,2.9430226352492267e-17,0.06322311607555448,0.2924935613431678,0.02805202487488423,0.00015977643572660905,0.0397822112076042,0.1863180875936489,0.012031752156742726
1.0000000000000001e+23,0.01763743958144064,0.03135565721543858,9.594974582268833e-18,0.014157717118464325,0.18900035143246968,0.0005739198069749863,0.06273274055967432,7.2801774323551e-18,0.05355358371300375,1.224226488812987e-19,0.06619844693134518,0.2970345892613161,0.02805642099122942,0.00013792848593188197,0.040302940517024474,0.18874148142089542,0.01051678296479119
3e+23,0.01625688335004136,0.03036815358218174,3.760283316192255e-17,0.011603605904766891,0.18708552910468587,0.00047747388574107897,0.06542898844006613,4.0006744792680614e-17,0.05031046040902974,1.3922216665259365e-17,0.06892983612980469,0.3007296128744164,0.02788604017774133,0.0001225812409200621,0.04074133102141993,0.19078327697427444,0.009276226904910404
1e+24,0.014941784058888734,0.029432782410878502,1.1102956557499684e-17,0.009436280289153831,0.18439984530129144,0.00040536383188109445,0.06839057123180076,8.687294022755093e-17,0.04709965885220679,1.0962461096539152e-18,0.07193478819121842,0.3043393803002887,0.02755933173793402,0.00011041663627270936,0.04117800313377782,0.19281835452934715,0.007953439495059871
