loss_domain_k,source_i,feature,Q_i,mbar_i,w_pQ,w_clr,mbar_clr_i
arxiv,arxiv,pQ:arxiv,0.7094894002981443,0.08006470699430575,-0.028371821933073964,-0.14269444185360936,0.7252982371825355
arxiv,freelaw,pQ:freelaw,0.6061136105391851,0.05562685017565562,0.5826856869512579,0.003169206456708776,0.4823102453255607
arxiv,nih_exporter,pQ:nih_exporter,0.6061136105391851,0.0036102893288422603,-6.028701901936724,0.05833475471474537,-0.9325742030583133
arxiv,pubmed_central,pQ:pubmed_central,0.7094894002981443,0.0829569948648906,-0.1216033170299323,-0.0099094028894503,0.8740553427997371
arxiv,wikipedia_en,pQ:wikipedia_en,0.5956867175934197,0.04511656067394484,0.37596927593911045,0.0024788439231779144,0.3092621864252901
arxiv,dm_mathematics,pQ:dm_mathematics,0.7094894002981443,0.018296517192373365,-0.7303513809787371,0.024088419996531118,-0.29411789192594523
arxiv,github,pQ:github,0.4784535320008694,0.054002748429485485,0.01517053260282674,0.014524463246751829,0.6850049311505172
arxiv,philpapers,pQ:philpapers,0.7094894002981443,0.0037764863724578344,-8.05661657994017,0.061918559667019236,-0.9928216038409553
arxiv,stackexchange,pQ:stackexchange,0.6028669215424124,0.06063610151117127,-0.249391762282956,-0.027320852361029494,0.6050487374391672
arxiv,enron_emails,pQ:enron_emails,0.6061136105391851,0.0014033441253024396,-23.181857164880128,0.10824561765675807,-1.2844178433960665
arxiv,gutenberg_pg_19,pQ:gutenberg_pg_19,0.4994921312324439,0.02364262754500234,0.09442013643950864,0.011856979808420607,0.10217515160788634
arxiv,pile_cc,pQ:pile_cc,0.6061136105391851,0.07117102505254637,0.029379096607540574,0.014691254493604705,0.8062879751385065
arxiv,ubuntu_irc,pQ:ubuntu_irc,0.6061136105391851,0.012362533461808227,-0.6638331864423904,0.023293919763342618,-0.3752296777092186
arxiv,europarl,pQ:europarl,0.6061136105391851,0.007921340639839427,-3.9071464402140053,0.056876336583819784,-0.5876965044640093
arxiv,hackernews,pQ:hackernews,0.6061136105391851,0.0071277504470613935,-1.1169878234153412,0.027645029743461367,-0.6557736934906878
arxiv,pubmed_abstracts,pQ:pubmed_abstracts,0.7094894002981443,0.045952754911802916,-0.1750294915778903,0.018570989131178738,0.16775474399575238
arxiv,uspto_backgrounds,pQ:uspto_backgrounds,0.6061136105391851,0.04547854256135763,-0.08599547470341773,0.017971786137037298,0.36543386682024454
freelaw,arxiv,pQ:arxiv,0.7094894002981443,0.08006470699430575,0.2756573068833253,0.0132149608820175,0.7252982371825355
freelaw,freelaw,pQ:freelaw,0.6061136105391851,0.05562685017565562,-0.2272895174567645,-0.22084568266663218,0.4823102453255607
freelaw,nih_exporter,pQ:nih_exporter,0.6061136105391851,0.0036102893288422603,-7.8154320711372,0.0602331697004836,-0.9325742030583133
freelaw,pubmed_central,pQ:pubmed_central,0.7094894002981443,0.0829569948648906,0.21224312055004443,0.012040770278835109,0.8740553427997371
freelaw,wikipedia_en,pQ:wikipedia_en,0.5956867175934197,0.04511656067394484,-0.3545920972859352,0.007798188212062551,0.3092621864252901
freelaw,dm_mathematics,pQ:dm_mathematics,0.7094894002981443,0.018296517192373365,-0.12164372955533306,0.02279655915914289,-0.29411789192594523
freelaw,github,pQ:github,0.4784535320008694,0.054002748429485485,0.7005185887204471,0.008561328227852086,0.6850049311505172
freelaw,philpapers,pQ:philpapers,0.7094894002981443,0.0037764863724578344,-8.226753396568554,0.0660809722133688,-0.9928216038409553
freelaw,stackexchange,pQ:stackexchange,0.6028669215424124,0.06063610151117127,0.3267943128012825,0.009436932785682944,0.6050487374391672
freelaw,enron_emails,pQ:enron_emails,0.6061136105391851,0.0014033441253024396,-38.286529748481804,0.1341848906980124,-1.2844178433960665
freelaw,gutenberg_pg_19,pQ:gutenberg_pg_19,0.4994921312324439,0.02364262754500234,-0.5516379551791569,0.01331484483355707,0.10217515160788634
freelaw,pile_cc,pQ:pile_cc,0.6061136105391851,0.07117102505254637,-0.6633920449578325,-0.0015475997318214862,0.8062879751385065
freelaw,ubuntu_irc,pQ:ubuntu_irc,0.6061136105391851,0.012362533461808227,-0.637192755275298,0.025859349428725836,-0.3752296777092186
freelaw,europarl,pQ:europarl,0.6061136105391851,0.007921340639839427,-2.781297968412261,0.042477789271615,-0.5876965044640093
freelaw,hackernews,pQ:hackernews,0.6061136105391851,0.0071277504470613935,-2.517268533781297,0.03711088851917403,-0.6557736934906878
freelaw,pubmed_abstracts,pQ:pubmed_abstracts,0.7094894002981443,0.045952754911802916,0.05200721280990672,0.01820783990813933,0.16775474399575238
freelaw,uspto_backgrounds,pQ:uspto_backgrounds,0.6061136105391851,0.04547854256135763,-0.1839654386793318,0.02259526543563179,0.36543386682024454
pubmed_central,arxiv,pQ:arxiv,0.7094894002981443,0.08006470699430575,0.016359099769899445,-0.0034091636642831326,0.7252982371825355
pubmed_central,freelaw,pQ:freelaw,0.6061136105391851,0.05562685017565562,0.3012092603321304,0.0052548597587399075,0.4823102453255607
pubmed_central,nih_exporter,pQ:nih_exporter,0.6061136105391851,0.0036102893288422603,-7.119223509545042,0.0437512086821939,-0.9325742030583133
pubmed_central,pubmed_central,pQ:pubmed_central,0.7094894002981443,0.0829569948648906,0.021326545433029566,-0.15186505998397135,0.8740553427997371
pubmed_central,wikipedia_en,pQ:wikipedia_en,0.5956867175934197,0.04511656067394484,-0.024436865574566775,0.010169098210293624,0.3092621864252901
pubmed_central,dm_mathematics,pQ:dm_mathematics,0.7094894002981443,0.018296517192373365,-0.07768411769379567,0.015211416824751295,-0.29411789192594523
pubmed_central,github,pQ:github,0.4784535320008694,0.054002748429485485,0.3492677653598143,0.009769677411199319,0.6850049311505172
pubmed_central,philpapers,pQ:philpapers,0.7094894002981443,0.0037764863724578344,-7.156170930674085,0.06273679839946959,-0.9928216038409553
pubmed_central,stackexchange,pQ:stackexchange,0.6028669215424124,0.06063610151117127,0.13007524651943345,0.0034290011020086815,0.6050487374391672
pubmed_central,enron_emails,pQ:enron_emails,0.6061136105391851,0.0014033441253024396,-29.8268899540072,0.11803615419893113,-1.2844178433960665
pubmed_central,gutenberg_pg_19,pQ:gutenberg_pg_19,0.4994921312324439,0.02364262754500234,-0.2761245685695169,0.017833779415241967,0.10217515160788634
pubmed_central,pile_cc,pQ:pile_cc,0.6061136105391851,0.07117102505254637,-0.04770777292666907,0.010757768807813553,0.8062879751385065
pubmed_central,ubuntu_irc,pQ:ubuntu_irc,0.6061136105391851,0.012362533461808227,-0.2638856119363298,0.017230176817713175,-0.3752296777092186
pubmed_central,europarl,pQ:europarl,0.6061136105391851,0.007921340639839427,-2.7015114309873214,0.03927669028898903,-0.5876965044640093
pubmed_central,hackernews,pQ:hackernews,0.6061136105391851,0.0071277504470613935,-1.5903717272943696,0.029064440256651138,-0.6557736934906878
pubmed_central,pubmed_abstracts,pQ:pubmed_abstracts,0.7094894002981443,0.045952754911802916,-0.5270687561957738,-0.0030033895293147075,0.16775474399575238
pubmed_central,uspto_backgrounds,pQ:uspto_backgrounds,0.6061136105391851,0.04547854256135763,-0.39486305049235537,0.016801208478046416,0.36543386682024454
wikipedia_en,arxiv,pQ:arxiv,0.7094894002981443,0.08006470699430575,0.2504446365055408,0.01004674710761224,0.7252982371825355
wikipedia_en,freelaw,pQ:freelaw,0.6061136105391851,0.05562685017565562,0.16343160933879936,8.284591079973963e-05,0.4823102453255607
wikipedia_en,nih_exporter,pQ:nih_exporter,0.6061136105391851,0.0036102893288422603,-6.3124577575643634,0.045003728998763134,-0.9325742030583133
wikipedia_en,pubmed_central,pQ:pubmed_central,0.7094894002981443,0.0829569948648906,0.015282143205063228,0.00975290253673425,0.8740553427997371
wikipedia_en,wikipedia_en,pQ:wikipedia_en,0.5956867175934197,0.04511656067394484,-0.8135481091427842,-0.13960251012265504,0.3092621864252901
wikipedia_en,dm_mathematics,pQ:dm_mathematics,0.7094894002981443,0.018296517192373365,-0.07860737141474992,0.020737924641897783,-0.29411789192594523
wikipedia_en,github,pQ:github,0.4784535320008694,0.054002748429485485,0.8028939400534015,0.009212420270459473,0.6850049311505172
wikipedia_en,philpapers,pQ:philpapers,0.7094894002981443,0.0037764863724578344,-6.669457950444326,0.04696269603719375,-0.9928216038409553
wikipedia_en,stackexchange,pQ:stackexchange,0.6028669215424124,0.06063610151117127,0.2732578108837339,0.0006548350267350607,0.6050487374391672
wikipedia_en,enron_emails,pQ:enron_emails,0.6061136105391851,0.0014033441253024396,-29.146233653167386,0.10908801496017302,-1.2844178433960665
wikipedia_en,gutenberg_pg_19,pQ:gutenberg_pg_19,0.4994921312324439,0.02364262754500234,-0.4049995032312725,0.009226898049761484,0.10217515160788634
wikipedia_en,pile_cc,pQ:pile_cc,0.6061136105391851,0.07117102505254637,-0.677771465769987,-0.023015975028620093,0.8062879751385065
wikipedia_en,ubuntu_irc,pQ:ubuntu_irc,0.6061136105391851,0.012362533461808227,-0.08862060264919197,0.01761718083053923,-0.3752296777092186
wikipedia_en,europarl,pQ:europarl,0.6061136105391851,0.007921340639839427,-1.9356551802216637,0.03395533999174652,-0.5876965044640093
wikipedia_en,hackernews,pQ:hackernews,0.6061136105391851,0.0071277504470613935,-2.658230818998929,0.034688946810541625,-0.6557736934906878
wikipedia_en,pubmed_abstracts,pQ:pubmed_abstracts,0.7094894002981443,0.045952754911802916,0.037018695209779066,0.00871393610720879,0.16775474399575238
wikipedia_en,uspto_backgrounds,pQ:uspto_backgrounds,0.6061136105391851,0.04547854256135763,0.002222890275870212,0.011959382653307307,0.36543386682024454
dm_mathematics,arxiv,pQ:arxiv,0.7094894002981443,0.08006470699430575,0.09566996029945582,-5.4210162121343156e-05,0.7252982371825355
dm_mathematics,freelaw,pQ:freelaw,0.6061136105391851,0.05562685017565562,0.1432252691867894,0.003107392856532262,0.4823102453255607
dm_mathematics,nih_exporter,pQ:nih_exporter,0.6061136105391851,0.0036102893288422603,-8.967853701278028,0.052437156150667644,-0.9325742030583133
dm_mathematics,pubmed_central,pQ:pubmed_central,0.7094894002981443,0.0829569948648906,-0.052234370169844085,0.0084666647477395,0.8740553427997371
dm_mathematics,wikipedia_en,pQ:wikipedia_en,0.5956867175934197,0.04511656067394484,0.05375112201135793,0.0044306743384939975,0.3092621864252901
dm_mathematics,dm_mathematics,pQ:dm_mathematics,0.7094894002981443,0.018296517192373365,4.105511287503095,-0.27265646090850826,-0.29411789192594523
dm_mathematics,github,pQ:github,0.4784535320008694,0.054002748429485485,0.040994383834515834,0.006910911944736312,0.6850049311505172
dm_mathematics,philpapers,pQ:philpapers,0.7094894002981443,0.0037764863724578344,-7.495625584354918,0.05150037678579588,-0.9928216038409553
dm_mathematics,stackexchange,pQ:stackexchange,0.6028669215424124,0.06063610151117127,-0.047901601103428074,-0.0023074830619135727,0.6050487374391672
dm_mathematics,enron_emails,pQ:enron_emails,0.6061136105391851,0.0014033441253024396,-36.56788992995074,0.1341477865150527,-1.2844178433960665
dm_mathematics,gutenberg_pg_19,pQ:gutenberg_pg_19,0.4994921312324439,0.02364262754500234,-0.5535082848756568,0.015004711366125025,0.10217515160788634
dm_mathematics,pile_cc,pQ:pile_cc,0.6061136105391851,0.07117102505254637,-0.03264634377268401,0.012092636712318498,0.8062879751385065
dm_mathematics,ubuntu_irc,pQ:ubuntu_irc,0.6061136105391851,0.012362533461808227,-0.40609558601948736,0.004826687416526527,-0.3752296777092186
